pd_ar_threshold,best_profit,best_cutoffs,best_multipliers
0.7,397291949.76549983,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.0, 2.0, 8.5, 9.5, 10.0]"
0.5,413422935.8450835,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.0, 2.315803891192105, 9.0, 9.5, 10.0]"
0.32,468946731.35628945,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.0, 1.5, 5.348321454590372, 9.0, 9.5]"
0.2,474415153.3988316,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.5, 4.310054877089896, 5.584763169750252, 9.0, 9.5]"
0.15,604046280.609,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.0, 1.5, 9.0, 9.5, 10.0]"
0.1,630144476.1636199,"[0.06, 0.04, 0.03, 0.019999999999999997]","[1.0, 1.5, 2.5, 7.683004557588504, 10.0]"
0.05,673129990.199,"[0.04, 0.03, 0.019999999999999997, 0.01]","[1.0, 1.5, 9.0, 9.5, 10.0]"
0.025,688577327.8899997,"[0.02475, 0.02375, 0.02275, 0.02175]","[5.106493064862112, 9.8, 9.9, 9.950000000000001, 10]"
