pd_ar_threshold,best_profit,best_cutoffs,best_multipliers
0.7,4869403523.13681,"[0.63, 0.3674305170368134, 0.18389310560836997, 0.1678405669352413]","[2.945700384317288, 4.570534872233244, 5.270712724061972, 7.286124451889499, 10.0]"
0.5,4960655492.150545,"[0.44517159688267627, 0.43, 0.42, 0.2053406139596917]","[2.077954435372169, 2.577954435372169, 3.147769886931473, 3.647769886931473, 10.0]"
0.32,5052422111.391296,"[0.28800000000000003, 0.278, 0.22288767176275845, 0.17758186903697337]","[1.5, 3.5322451716465677, 4.159676999268107, 4.659676999268107, 10.0]"
0.2,5077475143.51704,"[0.18, 0.16999999999999998, 0.15999999999999998, 0.14999999999999997]","[1.5, 2.651601704315679, 3.151601704315679, 4.388251842075227, 10.0]"
0.15,5046095114.262641,"[0.135, 0.125, 0.115, 0.10500000000000001]","[5.436686613340495, 6.5974417090740705, 7.4533254619071245, 7.9533254619071245, 10.0]"
0.1,4949890181.610002,"[0.09, 0.08, 0.06999999999999999, 0.05999999999999999]","[8.0, 8.5, 9.0, 9.5, 10.0]"
0.05,4424244646.6245,"[0.045, 0.034999999999999996, 0.024999999999999994, 0.014999999999999994]","[8.0, 8.5, 9.0, 9.5, 10.0]"
0.025,3708161954.703011,"[0.02475, 0.02375, 0.02275, 0.02175]","[9.772561224265216, 9.822561224265216, 9.9, 9.950000000000001, 10]"
